Linha,Código do PED,Endereço,Latitude,Longitude
110 - Destino Clóvis Alvim,143,R. Chácara Fernando Jardim - HCC,"-19,61971","-43,22164"
110 - Destino Clóvis Alvim,16,"Av. Cauê, 598","-19,6121","-43,22194"
110 - Destino Clóvis Alvim,80,"Av. João Soares Da Silva, 1322","-19,611837","-43,22309"
110 - Destino Clóvis Alvim,79,"Av. João Soares Da Silva, 1034","-19,611944","-43,228151"
110 - Destino Clóvis Alvim,82,"Av. João Soares Da Silva, 354","-19,61537","-43,22727"
110 - Destino Clóvis Alvim,9,"Av. Carlos Drumond De Andrade, S/N","-19,61794","-43,22584"
110 - Destino Clóvis Alvim,5,"Av. Carlos Drumond De Andrade, 350","-19,61986","-43,22456"
110 - Destino Clóvis Alvim,4,Av. Carlos Drumond De Andrade - Terminal,"-19,62074","-43,22401"
110 - Destino Clóvis Alvim,685,"R. José Isidoro, 204","-19,62847","-43,22214"
110 - Destino Clóvis Alvim,681,Tv. Suzinha De Sá Martins,"-19,62932","-43,22411"
110 - Destino Clóvis Alvim,679,"R. Armindo Costa Lage, 244","-19,63018","-43,22525"
110 - Destino Clóvis Alvim,678,"R. Armindo Costa Lage, 98","-19,63094","-43,22625"
110 - Destino Clóvis Alvim,275,"R. Pref. Virgilino Quintão, 352","-19,6334","-43,22633"
110 - Destino Clóvis Alvim,221,"R. José Gregório Da Cruz, 108","-19,63525","-43,22499"
110 - Destino Clóvis Alvim,648,"R. Rita Neves, 50","-19,63621","-43,22459"
110 - Destino Clóvis Alvim,645,R. Rita Neves - Praça Novo Amazonas,"-19,63791","-43,2258"
110 - Destino Clóvis Alvim,644,"R. Dr. Juvenil Duarte Braga, 432","-19,63989","-43,22657"
110 - Destino Clóvis Alvim,641,"R. Prof. Maria Antônieta Betônico, 291","-19,63999","-43,22684"
110 - Destino Clóvis Alvim,639,"R. Prof. Maria Antônieta Betônico, 45","-19,63801","-43,22778"
110 - Destino Clóvis Alvim,638,"R. Santa Catarina, 458","-19,63813","-43,22945"
110 - Destino Clóvis Alvim,636,"R. Mato Grosso, 1075","-19,63918","-43,2292"
110 - Destino Clóvis Alvim,633,"R. Mato Grosso, 859","-19,64112","-43,22846"
110 - Destino Clóvis Alvim,631,"Av. Brasil, 883","-19,64219","-43,22799"
110 - Destino Clóvis Alvim,630,"Av. Brasil, 1063","-19,64264","-43,22888"
110 - Destino Clóvis Alvim,882,R. Virgílio José Gazire,"-19,6437698","-43,2279852"
110 - Destino Clóvis Alvim,573,"R. José Evangelista Lage, 56","-19,64422","-43,22752"
110 - Clovis Alvim Destino Hospital Carlos Chagas,573,"R. José Evangelista Lage, 56","-19,64422","-43,22752"
110 - Clovis Alvim Destino Hospital Carlos Chagas,572,"R. Francisco José Da Silva, 17","-19,64316","-43,22869"
110 - Clovis Alvim Destino Hospital Carlos Chagas,629,"Av. Brasil, 1080","-19,64285","-43,22879"
110 - Clovis Alvim Destino Hospital Carlos Chagas,632,"Av. Brasil, 1062","-19,64231","-43,22783"
110 - Clovis Alvim Destino Hospital Carlos Chagas,634,"R. Mato Grosso, 860","-19,64113","-43,22831"
110 - Clovis Alvim Destino Hospital Carlos Chagas,635,"R. Mato Grosso, 1070","-19,6391","-43,22909"
110 - Clovis Alvim Destino Hospital Carlos Chagas,637,"R. Santa Catarina, 559","-19,63825","-43,22938"
110 - Clovis Alvim Destino Hospital Carlos Chagas,640,"R. Prof. Maria Antônieta Betônico, 60","-19,63822","-43,22777"
110 - Clovis Alvim Destino Hospital Carlos Chagas,642,"R. Prof. Maria Antônieta Betônico, 304","-19,63995","-43,22702"
110 - Clovis Alvim Destino Hospital Carlos Chagas,643,"R. Dr. Juvenil Duarte Braga, 441","-19,63993","-43,22645"
110 - Clovis Alvim Destino Hospital Carlos Chagas,646,"R. Rita Neves, 324","-19,638","-43,22569"
110 - Clovis Alvim Destino Hospital Carlos Chagas,647,"R. Rita Neves, 55","-19,63629","-43,22452"
110 - Clovis Alvim Destino Hospital Carlos Chagas,649,"R. José Gregório Da Cruz, 246","-19,63618","-43,2242"
110 - Clovis Alvim Destino Hospital Carlos Chagas,222,"R. José Gregório Da Cruz, 420","-19,63781","-43,22308"
